Headline,Identifier,Source,Time,Date,FDS Language,FDS Subject,Add Date,Add Time,Document Type,Time Zone,US Date,US Time,Close to Open Return (Rel),Sentiment Tag
Amazon plans to build and expand Whole Foods stores across U.S. -- WSJ,AMZN-US,SA, 5:12pm,30-Dec-18,EN,"NS_PS,RU,RUMOR",30-Dec-18, 5:12pm,SA,EST,30-Dec-18,12:12,0.0168,1
Popular apps share data with Facebook without user consent,FB-US,FTH, 8:55pm,30-Dec-18,EN,,30-Dec-18, 6:03pm,NWS,EST,30-Dec-18,15:55,0.0041,1
Apps share data with Facebook without user consent -- FT,FB-US,SA, 6:17pm,30-Dec-18,EN,NS_PS,30-Dec-18, 6:17pm,SA,EST,30-Dec-18,13:17,0.0041,1
Disney and Verizon reach broad-based distribution agreement to avoid potential blackout to FiOS customers,VZ-US,SA, 9:43pm,30-Dec-18,EN,"NS_PS,RU,RUMOR",30-Dec-18, 9:43pm,SA,EST,30-Dec-18,16:43,-0.0006,-1
"Twitter - @Benzinga: Barron's Picks And Pans: Coca-Cola, Disney, McDonald's, Verizon And More https://t.co/Lgj5XZhtkP $KO $DIS $BBY $CGNX $MCD $VZ",VZ-US,TWTR, 3:00pm,30-Dec-18,EN,,30-Dec-18, 3:02pm,SM,EST,30-Dec-18,10:00,-0.0006,-1
"Twitter - @ChannelNewsAsia: Yankees in talks with Amazon, Sinclair to bid for Yes Network: WSJ https://t.co/0wnCce0Z01 https://t.co/7L57fOwX1S",AMZN-US,TWTR,11:50am,28-Dec-18,EN,,28-Dec-18,11:50am,SM,EST,28-Dec-18,06:50,0.004,1
"Twitter - @SeekingAlpha: $AMZN - Retail Was Nice, Amazon Was Nicer https://t.co/tD9KUq9T33",AMZN-US,TWTR, 6:07am,28-Dec-18,EN,,28-Dec-18, 6:08am,SM,EST,28-Dec-18,01:07,0.004,1
"COO SANDBERG (indirect owner) Sells (pre-scheduled sale) 55,000 of FACEBOOK INC (FB)",FB-US,EDG,11:31pm,28-Dec-18,EN,"FILNS,FORM4,INSACT",28-Dec-18,11:31pm,"CO-FILNS,OWN-FILNS,FILNS",EST,28-Dec-18,18:31,0.0041,1
"CFO PORAT Surrenders (tax-related) 2,936 of ALPHABET INC. (GOOG)",GOOGL-US,EDG,12:23am,29-Dec-18,EN,"FILNS,FORM4,INSACT",29-Dec-18,12:23am,"CO-FILNS,OWN-FILNS,FILNS",EST,28-Dec-18,19:23,0.0053,1
"SVP DRUMMOND Surrenders (tax-related) 1,302 of ALPHABET INC. (GOOG)",GOOGL-US,EDG,10:51pm,28-Dec-18,EN,"FILNS,FORM4,INSACT",28-Dec-18,10:51pm,"CO-FILNS,OWN-FILNS,FILNS",EST,28-Dec-18,17:51,0.0053,1
"SVP GREENE Surrenders (tax-related) 2,528 of ALPHABET INC. (GOOG)",GOOGL-US,EDG, 9:45pm,28-Dec-18,EN,"FILNS,FORM4,INSACT",28-Dec-18, 9:45pm,"CO-FILNS,OWN-FILNS,FILNS",EST,28-Dec-18,16:45,0.0053,1
CAO O'TOOLE Surrenders (tax-related) 81 of ALPHABET INC. (GOOG),GOOGL-US,EDG, 9:07pm,28-Dec-18,EN,"FILNS,FORM4,INSACT",28-Dec-18, 9:07pm,"CO-FILNS,OWN-FILNS,FILNS",EST,28-Dec-18,16:07,0.0053,1
Twitter - @SeekingAlpha: $V - Going Shopping On This Market Dip? Charge It To Your Visa https://t.co/W6TRq6pmJk,V-US,TWTR, 9:21pm,28-Dec-18,EN,,28-Dec-18, 9:23pm,SM,EST,28-Dec-18,16:21,0.0003,1
"iTalkBB, Netflix, Verizon, US Telecom and other Entertainment Giants Continue to Explore Opportunities in Chinese Entertainment Content",VZ-US,PRN, 2:04am,29-Dec-18,EN,"COARLS,GN_GEN,GN_SUR",29-Dec-18, 2:04am,PRN,EST,28-Dec-18,21:04,-0.0006,-1
Amazon continues to try to figure out Brazil; big push could be coming next year - NYT,AMZN-US,SA, 3:34am,28-Dec-18,EN,"NS_PS,RU,RUMOR",28-Dec-18, 3:34am,SA,EST,27-Dec-18,22:34,0.004,1
"Amazon, Walmart face hit from new India e-commerce rules (News Service)",AMZN-US,IA, 2:24pm,27-Dec-18,EN,"BA_GEN,COARLS",27-Dec-18, 2:24pm,RN,EST,27-Dec-18,09:24,-0.0012,-1
Twitter - @SeekingAlpha: $AMZN - Investing In Amazon: Not As Safe As You Think https://t.co/sdLyKnpESA,AMZN-US,TWTR, 2:04pm,27-Dec-18,EN,,27-Dec-18, 2:05pm,SM,EST,27-Dec-18,09:04,-0.0012,-1
"Twitter - @ChannelNewsAsia: Amazon, Walmart face hit from new India e-commerce rules https://t.co/zpocUjbFZ0 https://t.co/bEA2pr3OTs",AMZN-US,TWTR,12:40pm,27-Dec-18,EN,,27-Dec-18,12:41pm,SM,EST,27-Dec-18,07:40,-0.0012,-1
Amazon and Flipkart face hit from India's new ecommerce rules,AMZN-US,FTH, 9:12am,27-Dec-18,EN,,27-Dec-18, 9:13am,NWS,EST,27-Dec-18,04:12,-0.0012,-1
Twitter - @SeekingAlpha: $FB - Facebook's Fair Value Estimate https://t.co/FOqugYOP9A,FB-US,TWTR,10:52pm,27-Dec-18,EN,,27-Dec-18,10:52pm,SM,EST,27-Dec-18,17:52,0.0021,1
"Dir SCHMIDT Gifts 75,739 of ALPHABET INC. (GOOG)",GOOGL-US,EDG,11:19pm,27-Dec-18,EN,"FILNS,FORM4,INSACT",27-Dec-18,11:19pm,"CO-FILNS,OWN-FILNS,FILNS",EST,27-Dec-18,18:19,0.0023,1
Visa (V) to buy Earthport for 30p/share in cash,V-US,SA, 7:12am,27-Dec-18,EN,"CA_MNA_GEN,CORPS,MANDA",27-Dec-18, 7:12am,SA,EST,27-Dec-18,02:12,-0.0071,-1
Follow-up: Disney warns Verizon FiOS customers about potential blackout - WSJ,VZ-US,SA, 6:48am,27-Dec-18,EN,NS_PS,27-Dec-18, 6:48am,SA,EST,27-Dec-18,01:48,0.0079,1
Twitter - @ChannelNewsAsia: Exclusive: Foxconn to begin assembling top-end Apple iPhones in India in 2019 - source https://t.co/NLkc4qU683 https://t.co/ahQ7Jxmzop,AAPL-US,TWTR, 1:05pm,27-Dec-18,EN,,27-Dec-18, 1:05pm,SM,EST,27-Dec-18,08:05,0.0018,1
Twitter - @ChannelNewsAsia: Foxconn to begin assembling top-end Apple iPhones in India in 2019: Source https://t.co/R6hlucCPfg https://t.co/BPJf9IqAjz,AAPL-US,TWTR,11:23am,27-Dec-18,EN,,27-Dec-18,11:24am,SM,EST,27-Dec-18,06:23,0.0018,1
Twitter - @Moneyweb: Apple predicted to be the best performing FAANG stock in 2019. https://t.co/WxOsbA5Ch5,AAPL-US,TWTR, 7:38am,27-Dec-18,EN,,27-Dec-18, 7:39am,SM,EST,27-Dec-18,02:38,0.0018,1
Amazon Customers Made this Holiday Season Record Breaking with More Items Ordered Worldwide than Ever Before,AMZN-US,CNW,11:00am,26-Dec-18,EN,COARLS,26-Dec-18,11:00am,PRN,EST,26-Dec-18,06:00,0.0134,1
Amazon Customers Made This Holiday Season Record-Breaking with More Items Ordered Worldwide Than Ever Before,AMZN-US,BW,11:00am,26-Dec-18,EN,"BA_PRD,COARLS,PRODS",26-Dec-18,11:00am,PRN,EST,26-Dec-18,06:00,0.0134,1
Top Amazon executive privately advised Trump administration on portal expected to generate billions in revenue for company - Guardian,AMZN-US,SA, 9:43am,26-Dec-18,EN,"NS_PS,RU,RUMOR",26-Dec-18, 9:43am,SA,EST,26-Dec-18,04:43,0.0134,1
S4 Capital chairman Martin Sorrell: Advertisers sticking with Facebook - Guardian (13:34 GMT/08:34 ET),FB-US,SA, 1:36am,27-Dec-18,EN,"NS_PS,RU,RUMOR",27-Dec-18, 1:36am,SA,EST,26-Dec-18,20:36,-0.0028,-1
Twitter - @SeekingAlpha: $FB - Why Facebook Is A Screaming Buy https://t.co/Cb1xITM5RG,FB-US,TWTR, 1:33pm,26-Dec-18,EN,,26-Dec-18, 1:34pm,SM,EST,26-Dec-18,08:33,0.0105,1
Twitter - @SeekingAlpha: $XOM - Is Exxon Mobil A Bargain At Its 8-Year Low? https://t.co/jIu6qLio98,XOM-US,TWTR, 2:13pm,26-Dec-18,EN,,26-Dec-18, 2:14pm,SM,EST,26-Dec-18,09:13,0.0051,1
Twitter - @SeekingAlpha: $AAPL - Apple Nears 2% Dividend Yield https://t.co/vMFvJyinrc,AAPL-US,TWTR, 9:39pm,26-Dec-18,EN,,26-Dec-18, 9:40pm,SM,EST,26-Dec-18,16:39,0.0018,1
Twitter - @SeekingAlpha: $AAPL - Is Apple A Buy? https://t.co/QXQXsXhQjg,AAPL-US,TWTR, 9:22pm,26-Dec-18,EN,,26-Dec-18, 9:23pm,SM,EST,26-Dec-18,16:22,0.0018,1
Hemispherx Biopharma Issues Business Update to Clarify Apple iOS12 Stocks Application 'No Recent Stories' Misinformation,AAPL-US,GNW, 1:30pm,26-Dec-18,EN,"BA_GEN,COARLS,EVTS,EV_GEN,PRODS",26-Dec-18, 1:30pm,PRN,EST,26-Dec-18,08:30,0.0049,1
Twitter - @MarketRealist: What Apple iPhone Ban in Germany and China Means to Qualcomm $QCOM $AAPL $EWG $QRVO https://t.co/yqfoPYcqQk https://t.co/ERonhFo8Ho,AAPL-US,TWTR, 1:18pm,26-Dec-18,EN,,26-Dec-18, 1:19pm,SM,EST,26-Dec-18,08:18,0.0049,1
Twitter - @MarketRealist: Will Apple Announce Reduced Outlook for March Quarter? $AAPL $QRVO $CRUS $LITE $QCOM $FXI $VTI $QQQ... https://t.co/8vnM3ws2xf,AAPL-US,TWTR, 1:09pm,26-Dec-18,EN,,26-Dec-18, 1:09pm,SM,EST,26-Dec-18,08:09,0.0049,1
Twitter - @MarketRealist: Why Is Wedbush Bullish on Apple? $AAPL $QCOM $NFLX $DIS $FXI https://t.co/xbeqrSGSbI https://t.co/niJu5ltdLb,AAPL-US,TWTR, 1:07pm,26-Dec-18,EN,,26-Dec-18, 1:07pm,SM,EST,26-Dec-18,08:07,0.0049,1
"Twitter - @DigitimesDotCom: Apple, Huawei make gains in Taiwan handset market in November #DIGITIMES https://t.co/nu9Sa400Lp",AAPL-US,TWTR, 8:59am,26-Dec-18,EN,,26-Dec-18, 9:01am,SM,EST,26-Dec-18,03:59,0.0049,1
Twitter - @SeekingAlpha: $MSFT - Microsoft: Better Than All Of FAANG https://t.co/DWnxIZabpX,MSFT-US,TWTR, 5:03am,25-Dec-18,EN,,25-Dec-18, 5:04am,SM,EST,25-Dec-18,00:03,0.0163,1
Twitter - @SeekingAlpha: $FB - Buy Facebook When It's Bloody https://t.co/Bd2QHepSqF,FB-US,TWTR, 5:51am,25-Dec-18,EN,,25-Dec-18, 5:52am,SM,EST,25-Dec-18,00:51,-0.0282,-1
"Guyana speaking with Exxon Mobil after ships halt search for oil following confrontation with Venezuela's navy - Reuters (13:18 ET, 24-Dec)",XOM-US,SA, 3:06am,26-Dec-18,EN,NS_PS,26-Dec-18, 3:06am,SA,EST,25-Dec-18,22:06,0.0051,1
Twitter - @MarketRealist: Amazon\'s Grocery Push Faces Competition from Retailers $AMZN $TGT $KR $WMT https://t.co/ePXmTQxgpD https://t.co/tqkDMWD3VS,AMZN-US,TWTR, 1:05pm,24-Dec-18,EN,,24-Dec-18, 1:06pm,SM,EST,24-Dec-18,08:05,-0.0163,-1
Twitter - @SeekingAlpha: $AMZN - Amazon's Rational Capitalization Based On EBITDA https://t.co/MwUY4v2DmF,AMZN-US,TWTR,12:36pm,24-Dec-18,EN,,24-Dec-18,12:39pm,SM,EST,24-Dec-18,07:36,-0.0163,-1
Facebook removed from Best Ideas List at Wedbush Securities,FB-US,SA,12:29pm,24-Dec-18,EN,"ANLCH,AN_GEN,AN_INC",24-Dec-18,12:29pm,SA,EST,24-Dec-18,07:29,-0.0082,-1
Johnson & Johnson(JNJ-US) Schedules J.P. Morgan Healthcare Conference for 7-January-2019 5:30 PM ET,JNJ-US,FCST, 2:14pm,24-Dec-18,EN,"EVTS,EV_ME",24-Dec-18, 2:14pm,"CONF,EVTS,EV_ME,FILNS_TS_TR",EST,24-Dec-18,09:14,0.0005,1
Johnson & Johnson(JNJ-US) Schedules J.P. Morgan Healthcare Conference - QA Session for 7-January-2019 6:00 PM ET,JNJ-US,FCST, 2:10pm,24-Dec-18,EN,"EVTS,EV_ME",24-Dec-18, 2:10pm,"CONF,EVTS,EV_ME,FILNS_TS_TR",EST,24-Dec-18,09:10,0.0005,1
Johnson & Johnson to Participate in 37th Annual JP Morgan Health Care Conference,JNJ-US,PRN, 1:30pm,24-Dec-18,EN,"BA_TRD,COARLS",24-Dec-18, 1:30pm,PRN,EST,24-Dec-18,08:30,0.0005,1
"Twitter - @ChannelNewsAsia: Guyana, Exxon in talks after Venezuela dispute halts marine survey https://t.co/m2dNLZNTux https://t.co/XB68dSsDct",XOM-US,TWTR, 3:15am,25-Dec-18,EN,,25-Dec-18, 3:17am,SM,EST,24-Dec-18,22:15,-0.0003,-1
Chinese companies urging employees to boycott Apple - Nikkei,AAPL-US,SA,10:03am,24-Dec-18,EN,"NS_PS,RU,RUMOR",24-Dec-18,10:03am,SA,EST,24-Dec-18,05:03,-0.0105,-1
The Patent Trial and Appeal Board Gives Voip-Pal Another Significant Victory by Declining to Impose Apple's Requested Sanctions Against Them,AAPL-US,GNW,10:00am,24-Dec-18,EN,"BA_GEN,COARLS,EVTS,EV_GEN,LR_PAT,PRODS",24-Dec-18,10:00am,PRN,EST,24-Dec-18,05:00,-0.0105,-1
Twitter - @SeekingAlpha: $AMZN - Amazon: Growth Is Far From Over https://t.co/axXOKzUpUU,AMZN-US,TWTR,11:50pm,23-Dec-18,EN,,23-Dec-18,11:50pm,SM,EST,23-Dec-18,18:50,-0.0163,-1
Facebook has put growth ahead of governance for too long,FB-US,FTH, 2:36pm,23-Dec-18,EN,,23-Dec-18, 2:36pm,NWS,EST,23-Dec-18,09:36,-0.0082,-1
Twitter - @SeekingAlpha: $XOM - Exxon Mobil Near 5% Yield And Low Valuation https://t.co/GjLH8zpQn5,XOM-US,TWTR, 4:28am,24-Dec-18,EN,,24-Dec-18, 4:30am,SM,EST,23-Dec-18,23:28,-0.0118,-1
Amazon fulfillment center to employ 850 in Marshall County,AMZN-US,MCT, 2:03am,22-Dec-18,EN,"BA_ESG,CA_LAB,COARLS,GN_GEN",22-Dec-18, 2:03am,RN,EST,21-Dec-18,21:03,-0.0163,-1
Amazon expands fleet of 767 cargo planes to 50,AMZN-US,MCT,12:47am,22-Dec-18,EN,"BA_GEN,COARLS",22-Dec-18,12:47am,RN,EST,21-Dec-18,19:47,-0.0163,-1
Amazon Announces First Mississippi Fulfillment Center,AMZN-US,BW, 2:00pm,21-Dec-18,EN,"BA_PRD,COARLS,PRODS",21-Dec-18, 2:00pm,PRN,EST,21-Dec-18,09:00,0.0037,1
ATSG Expands and Extends its Aircraft Leasing and Operating Agreements with Amazon,AMZN-US,BW, 2:00pm,21-Dec-18,EN,"BA_CTR,COARLS,PRODS",21-Dec-18, 2:00pm,PRN,EST,21-Dec-18,09:00,0.0037,1
Air Transport Services Group provides additional information regarding the previously reported amended air transportation services agreement with Amazon - 8-K,AMZN-US,SA,11:43am,21-Dec-18,EN,,21-Dec-18,11:43am,SA,EST,21-Dec-18,06:43,0.0037,1
More parking sought for Milford Amazon vans,AMZN-US,MCT,10:46am,21-Dec-18,EN,"BA_ESG,COARLS,GN_POL_GVT,GN_TRA,POLS",21-Dec-18,10:47am,RN,EST,21-Dec-18,05:46,0.0037,1
Amazon leases ten more planes from Air Transport Services Group; terms undisclosed,AMZN-US,SA, 5:02am,21-Dec-18,EN,,21-Dec-18, 5:02am,SA,EST,21-Dec-18,00:02,0.0037,1
"Amazon's Air Network Expands to Support the Growth of Prime Fast, Free Shipping for Customers",AMZN-US,BW, 5:00am,21-Dec-18,EN,"BA_CTR,COARLS,PRODS",21-Dec-18,,PRN,EST,21-Dec-18,00:00,0.0037,1
Twitter - @SeekingAlpha: $FB - Facebook's Network Shows No Signs Of Cracking https://t.co/QZEXQNKxkL,FB-US,TWTR, 4:41am,22-Dec-18,EN,,22-Dec-18, 4:42am,SM,EST,21-Dec-18,23:41,-0.0082,-1
"DoubleVerify launches Quality Coverage across Facebook Stories, Offering Greater Transparency and Control within the Facebook Platform - Press Release issued by DoubleVerify (Pakistan Press International)",FB-US,IA, 1:17pm,21-Dec-18,EN,"BA_ESG,COARLS,GN_GEN",21-Dec-18, 1:23pm,RN,EST,21-Dec-18,08:17,0.0008,1
Facebook downgraded to sell from hold at DZ Bank (timing uncertain),FB-US,SA, 9:58am,21-Dec-18,EN,"ANLCH,AN_DNG",21-Dec-18, 9:58am,SA,EST,21-Dec-18,04:58,0.0008,1
"UnitedHealth Group, Inc.(UNH-US) Schedules Q4 2018 Earnings Release for 15-January-2019 5:55 AM ET",UNH-US,FCST,12:10pm,21-Dec-18,EN,"ERNS,ER_REL,EVTS,EV_ME",21-Dec-18,12:10pm,"EARNREL,ERNS,ER_REL,EVTS,EV_ME,FILNS_TS_TR",EST,21-Dec-18,07:10,-0.0062,-1
"UnitedHealth Group, Inc.(UNH-US) Schedules Q4 2018 Earnings Call for 15-January-2019 8:45 AM ET",UNH-US,FCST,12:10pm,21-Dec-18,EN,"ERNS,ER_GEN,EVTS,EV_ME",21-Dec-18,12:10pm,"EARN,ERNS,ER_GEN,EVTS,EV_ME,FILNS_TS_TR",EST,21-Dec-18,07:10,-0.0062,-1
"UnitedHealth Group Schedules Fourth Quarter and Full Year 2018 Earnings Release and Conference Call for January 15, 2019",UNH-US,BW,11:50am,21-Dec-18,EN,"COARLS,ERNS,ER_GEN,EVTS,EV_GEN",21-Dec-18,11:50am,PRN,EST,21-Dec-18,06:50,-0.0062,-1
Twitter - @SeekingAlpha: $VZ - Verizon And Its Real Value https://t.co/oReZGjIdHW,VZ-US,TWTR, 9:28pm,21-Dec-18,EN,,21-Dec-18, 9:28pm,SM,EST,21-Dec-18,16:28,0.0023,1
Apple risks iPhone ban in Germany after court case loss (News Service),AAPL-US,IA, 5:24am,21-Dec-18,EN,"BA_ESG,BA_GEN,COARLS,EV_GEN,EX_GEN,GN_POL_GVT,LR_LTG,LR_PAT,LTGREG,POLS",21-Dec-18, 5:24am,RN,EST,21-Dec-18,00:24,0.001,1
Gov. Roy Cooper says Apple still in 'open negotiations' with North Carolina,AAPL-US,MCT, 5:01am,21-Dec-18,EN,"BA_ESG,BA_GEN,CA_LAB,COARLS,GN_GEN,GN_SCI",21-Dec-18, 3:11am,RN,EST,21-Dec-18,00:01,0.001,1
Twitter - @Benzinga: Munster: Amazon Buying Target Still Makes Sense https://t.co/xpIrMHhUsm $AMZN $TGT $WMT,AMZN-US,TWTR,10:15pm,20-Dec-18,EN,,20-Dec-18,10:15pm,SM,EST,20-Dec-18,17:15,0.0037,1
"ISBG Submits CBD Trademarks, Works with BioPulse Labs to Expand Distribution onto Amazon.com",AMZN-US,GNW, 1:09pm,20-Dec-18,EN,"BA_PRD,COARLS,PRODS",20-Dec-18, 1:09pm,PRN,EST,20-Dec-18,08:09,-0.0034,-1
Twitter - @ChannelNewsAsia: Amazon error allowed Alexa user to eavesdrop on another home https://t.co/OfjFIeKC3y https://t.co/O8AT6AhhXw,AMZN-US,TWTR,11:10am,20-Dec-18,EN,,20-Dec-18,11:11am,SM,EST,20-Dec-18,06:10,-0.0034,-1
"Tree farmers in WNY have 'crazy, fantastic' sales despite Amazon",AMZN-US,MCT,11:02am,20-Dec-18,EN,COARLS,20-Dec-18,11:02am,RN,EST,20-Dec-18,06:02,-0.0034,-1
Another 20 Boeing 767s could boost Amazon's Prime Air fleet,AMZN-US,MCT, 8:31am,20-Dec-18,EN,"BA_ESG,COARLS,GN_TRA",20-Dec-18, 8:31am,RN,EST,20-Dec-18,03:31,-0.0034,-1
Facebook developing cryptocurrency - Bloomberg,FB-US,SA, 4:18am,21-Dec-18,EN,"NS_PS,RU,RUMOR",21-Dec-18, 4:18am,SA,EST,20-Dec-18,23:18,0.0008,1
"Twitter - @Benzinga: Despite Privacy Missteps, Analysts Still Like Facebook https://t.co/WmZDNDE9SX $FB",FB-US,TWTR,12:15am,21-Dec-18,EN,,21-Dec-18,12:18am,SM,EST,20-Dec-18,19:15,0.0008,1
Twitter - @SeekingAlpha: $XOM - How Safe Is Exxon Mobil's Dividend? https://t.co/zfnUrJ9q49,XOM-US,TWTR, 2:18am,21-Dec-18,EN,,21-Dec-18, 2:19am,SM,EST,20-Dec-18,21:18,-0.0063,-1
Twitter - @SeekingAlpha: $XOM - Exxon Is The Baby Thrown Out With The Water - It's A Buy https://t.co/K2hXFuRnUt,XOM-US,TWTR,12:15pm,20-Dec-18,EN,,20-Dec-18,12:15pm,SM,EST,20-Dec-18,07:15,-0.0057,-1
William O'Neil + Co.: Unitedhealth Group Removed from Focus List (William O'Neil) 2 pages,UNH-US,FRC,12:35am,21-Dec-18,EN,"ANLCH,EQTY,ERNS,ER_GEN,RRPTS,RTGS",21-Dec-18,12:36am,IR,EST,20-Dec-18,19:35,-0.0062,-1
Twitter - @SeekingAlpha: $PFE - Pfizer: Steady As She Goes https://t.co/GsvXelWZN0,PFE-US,TWTR,10:18pm,20-Dec-18,EN,,20-Dec-18,10:19pm,SM,EST,20-Dec-18,17:18,-0.0066,-1
Pfizer reports IDMC recommends discontinuation of the phase 2B STRIVE clinical trial of staphylococcus aureus vaccine,PFE-US,SA, 9:32pm,20-Dec-18,EN,"LR_GEN,LR_PHA,LTGREG",20-Dec-18, 9:33pm,SA,EST,20-Dec-18,16:32,-0.0066,-1
Twitter - @pfizer_news: We're pleased to announce positive top-line results from our Phase 3 clinical trial for a form of advanced... https://t.co/zou2muGR4g,PFE-US,TWTR, 2:22pm,20-Dec-18,EN,COARLS,20-Dec-18, 2:26pm,SM,EST,20-Dec-18,09:22,-0.0021,-1
Twitter - @SeekingAlpha: $PFE $GSK - Pfizer: Consumer Health Deal Looks Good https://t.co/pXgbRRepT4,PFE-US,TWTR, 2:11pm,20-Dec-18,EN,,20-Dec-18, 2:16pm,SM,EST,20-Dec-18,09:11,-0.0021,-1
Astellas and Pfizer announce top-line results from phase 3 ARCHES trial of XTANDI; meets primary endpoint,PFE-US,SA, 2:03pm,20-Dec-18,EN,,20-Dec-18, 2:03pm,SA,EST,20-Dec-18,09:03,-0.0021,-1
Astellas and Pfizer Announce Positive Top-Line Results from Phase 3 ARCHES Trial of XTANDI« (enzalutamide) in Men with Metastatic Hormone-Sensitive Prostate Cancer,PFE-US,PRN, 2:00pm,20-Dec-18,EN,"COARLS,LR_PHA",20-Dec-18, 2:00pm,PRN,EST,20-Dec-18,09:00,-0.0021,-1
(RNS)  Pfizer Inc  Press Release,PFE-US,FECAD,10:06am,20-Dec-18,EN,"COARLS,FILNS",20-Dec-18,11:06am,"OTH-FILNS,FILNS",EST,20-Dec-18,05:06,-0.0021,-1
Twitter - @ChannelNewsAsia: German court rules Apple infringed Qualcomm patent https://t.co/MEaeB8xZgL https://t.co/WwpCG6w3Di,AAPL-US,TWTR, 2:14pm,20-Dec-18,EN,,20-Dec-18, 2:21pm,SM,EST,20-Dec-18,09:14,0.001,1
ZestFinance To Deliver First Fully Explainable Artificial Intelligence Solution For Credit Underwriting with Microsoft Cloud,MSFT-US,PRN, 2:00pm,19-Dec-18,EN,"BA_CTR,BA_PRD,COARLS,PRODS",19-Dec-18, 2:00pm,PRN,EST,19-Dec-18,09:00,-0.0034,-1
CircadenceáBrings Project AresáCybersecurity Platform to Microsoft Azure,MSFT-US,BW,11:00am,19-Dec-18,EN,"BA_PRD,COARLS,PRODS",19-Dec-18,11:00am,PRN,EST,19-Dec-18,06:00,-0.0034,-1
